angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.41,,"[567, 261, 163, 205]",,0.0,,0.07,,0.0,,0.25,,0.27,,0.0,
0.44,,"[563, 251, 177, 219]",,0.0,,0.03,,0.0,,0.37,,0.16,,0.0,
0.74,,"[565, 249, 177, 218]",,0.0,,0.02,,0.0,,0.11,,0.13,,0.0,
0.36,,"[564, 251, 177, 218]",,0.0,,0.03,,0.0,,0.4,,0.2,,0.0,
0.48,,"[564, 251, 177, 218]",,0.0,,0.03,,0.0,,0.31,,0.18,,0.0,
0.55,,"[565, 251, 176, 217]",,0.0,,0.02,,0.0,,0.21,,0.21,,0.0,
0.7,,"[564, 250, 176, 218]",,0.0,,0.02,,0.0,,0.17,,0.11,,0.0,
0.64,,"[564, 249, 176, 218]",,0.0,,0.02,,0.0,,0.14,,0.19,,0.0,
0.61,,"[564, 250, 177, 218]",,0.0,,0.03,,0.0,,0.17,,0.2,,0.0,
0.81,,"[565, 248, 176, 219]",,0.0,,0.01,,0.0,,0.08,,0.11,,0.0,
0.68,,"[558, 254, 180, 216]",,0.0,,0.03,,0.0,,0.18,,0.11,,0.0,
0.64,,"[559, 253, 179, 218]",,0.0,,0.02,,0.0,,0.23,,0.11,,0.0,
0.51,,"[563, 257, 174, 211]",,0.0,,0.03,,0.0,,0.26,,0.2,,0.0,
0.6,,"[567, 261, 167, 207]",,0.0,,0.03,,0.0,,0.17,,0.2,,0.0,
0.62,,"[566, 261, 168, 208]",,0.0,,0.03,,0.0,,0.2,,0.15,,0.0,
0.36,,"[568, 261, 167, 205]",,0.0,,0.09,,0.0,,0.28,,0.28,,0.0,
0.72,,"[566, 259, 170, 210]",,0.0,,0.03,,0.0,,0.13,,0.12,,0.0,
0.46,,"[566, 259, 169, 208]",,0.0,,0.05,,0.0,,0.3,,0.18,,0.0,
0.7,,"[564, 259, 171, 209]",,0.0,,0.02,,0.0,,0.15,,0.12,,0.0,
0.7,,"[567, 259, 170, 208]",,0.0,,0.02,,0.0,,0.15,,0.13,,0.0,
0.75,,"[559, 251, 180, 220]",,0.0,,0.01,,0.0,,0.13,,0.1,,0.0,
0.69,,"[567, 259, 169, 206]",,0.0,,0.04,,0.0,,0.09,,0.17,,0.0,
0.8,,"[567, 257, 170, 208]",,0.0,,0.03,,0.0,,0.04,,0.13,,0.0,
0.69,,"[566, 258, 173, 207]",,0.0,,0.04,,0.0,,0.09,,0.17,,0.0,
0.63,,"[567, 258, 169, 207]",,0.0,,0.05,,0.0,,0.16,,0.15,,0.0,
0.75,,"[566, 259, 172, 207]",,0.0,,0.03,,0.0,,0.09,,0.12,,0.0,
0.58,,"[566, 259, 170, 206]",,0.0,,0.06,,0.0,,0.17,,0.18,,0.0,
0.71,,"[566, 260, 170, 204]",,0.0,,0.07,,0.0,,0.08,,0.13,,0.0,
0.72,,"[566, 260, 171, 206]",,0.0,,0.04,,0.0,,0.11,,0.14,,0.0,
0.7,,"[567, 260, 169, 204]",,0.0,,0.06,,0.0,,0.08,,0.16,,0.0,
0.73,,"[566, 260, 173, 205]",,0.0,,0.04,,0.0,,0.1,,0.12,,0.0,
0.6,,"[567, 260, 172, 206]",,0.0,,0.04,,0.0,,0.17,,0.19,,0.0,
0.67,,"[567, 260, 171, 206]",,0.0,,0.03,,0.0,,0.12,,0.18,,0.0,
0.71,,"[567, 260, 170, 205]",,0.0,,0.05,,0.0,,0.09,,0.14,,0.0,
0.62,,"[559, 253, 181, 220]",,0.0,,0.04,,0.0,,0.12,,0.22,,0.0,
0.66,,"[561, 254, 179, 216]",,0.0,,0.02,,0.0,,0.1,,0.22,,0.0,
0.66,,"[567, 260, 171, 206]",,0.0,,0.03,,0.0,,0.08,,0.22,,0.0,
0.74,,"[566, 259, 172, 208]",,0.01,,0.02,,0.0,,0.11,,0.13,,0.0,
0.63,,"[567, 260, 172, 207]",,0.0,,0.02,,0.0,,0.16,,0.18,,0.0,
0.52,,"[564, 256, 172, 211]",,0.0,,0.11,,0.0,,0.11,,0.25,,0.0,
0.71,,"[565, 256, 171, 210]",,0.0,,0.06,,0.0,,0.05,,0.18,,0.0,
0.69,,"[564, 255, 173, 211]",,0.0,,0.04,,0.0,,0.06,,0.2,,0.0,
0.66,,"[567, 260, 172, 206]",,0.0,,0.04,,0.0,,0.11,,0.17,,0.0,
0.73,,"[565, 259, 172, 211]",,0.0,,0.03,,0.0,,0.11,,0.13,,0.0,
0.69,,"[567, 260, 169, 205]",,0.0,,0.05,,0.0,,0.11,,0.16,,0.0,
0.67,,"[565, 258, 174, 211]",,0.0,,0.02,,0.0,,0.17,,0.13,,0.0,
0.72,,"[567, 257, 172, 212]",,0.0,,0.01,,0.0,,0.13,,0.13,,0.0,
0.68,,"[565, 260, 172, 210]",,0.0,,0.02,,0.0,,0.17,,0.13,,0.0,
0.53,,"[566, 255, 175, 214]",,0.0,,0.03,,0.0,,0.21,,0.23,,0.0,
0.52,,"[564, 249, 179, 222]",,0.0,,0.0,,0.0,,0.3,,0.17,,0.0,
0.28,,"[568, 262, 165, 208]",,0.0,,0.01,,0.0,,0.47,,0.23,,0.0,
0.31,,"[568, 259, 170, 214]",,0.0,,0.02,,0.0,,0.38,,0.28,,0.0,
0.11,,"[568, 263, 164, 205]",,0.0,,0.03,,0.0,,0.69,,0.16,,0.0,
0.11,,"[569, 263, 163, 205]",,0.0,,0.04,,0.0,,0.68,,0.16,,0.0,
0.18,,"[569, 262, 166, 209]",,0.0,,0.03,,0.0,,0.47,,0.31,,0.0,
0.22,,"[569, 262, 166, 208]",,0.0,,0.03,,0.0,,0.43,,0.32,,0.0,
0.17,,"[570, 261, 167, 211]",,0.0,,0.04,,0.0,,0.6,,0.18,,0.01,
0.07,,"[563, 246, 182, 230]",,0.0,,0.02,,0.01,,0.84,,0.06,,0.0,
0.07,,"[559, 248, 182, 228]",,0.0,,0.01,,0.0,,0.85,,0.07,,0.0,
0.06,,"[559, 248, 183, 229]",,0.0,,0.01,,0.0,,0.88,,0.05,,0.0,
0.07,,"[562, 244, 184, 235]",,0.0,,0.01,,0.01,,0.88,,0.03,,0.0,
0.07,,"[564, 245, 182, 235]",,0.0,,0.01,,0.01,,0.84,,0.08,,0.0,
0.04,,"[558, 242, 185, 237]",,0.0,,0.01,,0.01,,0.9,,0.05,,0.0,
0.05,,"[563, 245, 183, 234]",,0.0,,0.01,,0.01,,0.89,,0.04,,0.0,
0.05,,"[558, 246, 183, 233]",,0.0,,0.01,,0.01,,0.91,,0.02,,0.0,
0.05,,"[559, 247, 182, 232]",,0.0,,0.01,,0.01,,0.88,,0.05,,0.0,
0.03,,"[559, 246, 183, 233]",,0.0,,0.01,,0.02,,0.92,,0.03,,0.0,
0.06,,"[559, 243, 183, 240]",,0.0,,0.01,,0.0,,0.91,,0.03,,0.0,
0.07,,"[564, 246, 182, 235]",,0.0,,0.01,,0.01,,0.83,,0.07,,0.0,
0.06,0.06,"[559, 244, 183, 238]","[660, 573, 16, 19]",0.0,0.0,0.01,0.08,0.01,0.33,0.9,0.08,0.03,0.41,0.0,0.03
0.04,,"[560, 242, 182, 240]",,0.0,,0.0,,0.01,,0.92,,0.03,,0.0,
0.05,,"[560, 254, 180, 226]",,0.0,,0.02,,0.0,,0.91,,0.02,,0.01,
0.1,,"[565, 251, 178, 229]",,0.0,,0.03,,0.0,,0.81,,0.04,,0.01,
0.09,,"[563, 249, 177, 231]",,0.0,,0.02,,0.0,,0.87,,0.01,,0.0,
0.33,,"[563, 251, 176, 229]",,0.0,,0.04,,0.0,,0.58,,0.04,,0.0,
0.27,,"[562, 251, 177, 228]",,0.0,,0.06,,0.0,,0.62,,0.03,,0.01,
0.57,,"[563, 261, 177, 220]",,0.01,,0.05,,0.01,,0.25,,0.11,,0.0,
0.49,,"[566, 266, 170, 213]",,0.01,,0.12,,0.0,,0.2,,0.16,,0.01,
0.52,,"[566, 267, 168, 211]",,0.0,,0.06,,0.01,,0.25,,0.13,,0.02,
0.63,,"[561, 261, 179, 220]",,0.01,,0.1,,0.01,,0.18,,0.07,,0.01,
0.45,,"[566, 275, 168, 207]",,0.01,,0.08,,0.02,,0.31,,0.13,,0.01,
0.73,,"[567, 277, 165, 206]",,0.0,,0.03,,0.01,,0.17,,0.05,,0.01,
0.79,,"[566, 279, 162, 203]",,0.01,,0.03,,0.05,,0.06,,0.06,,0.0,
0.72,,"[566, 278, 159, 202]",,0.0,,0.07,,0.01,,0.12,,0.05,,0.04,
0.96,,"[560, 260, 173, 226]",,0.01,,0.01,,0.0,,0.0,,0.01,,0.0,
0.97,,"[559, 262, 181, 226]",,0.0,,0.01,,0.0,,0.0,,0.01,,0.0,
0.99,,"[557, 262, 183, 228]",,0.0,,0.01,,0.0,,0.0,,0.0,,0.0,
0.99,,"[559, 261, 182, 228]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[560, 261, 183, 229]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[561, 262, 181, 228]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.95,,"[565, 278, 164, 208]",,0.0,,0.01,,0.0,,0.02,,0.02,,0.0,
0.98,,"[562, 260, 178, 228]",,0.0,,0.01,,0.0,,0.0,,0.0,,0.0,
0.97,,"[564, 262, 175, 225]",,0.0,,0.01,,0.0,,0.0,,0.01,,0.0,
0.84,,"[565, 276, 162, 212]",,0.0,,0.02,,0.0,,0.08,,0.05,,0.0,
0.98,,"[563, 273, 166, 215]",,0.0,,0.01,,0.0,,0.0,,0.01,,0.0,
0.99,,"[564, 274, 164, 212]",,0.0,,0.01,,0.0,,0.0,,0.0,,0.0,
0.93,,"[564, 277, 164, 211]",,0.01,,0.01,,0.0,,0.01,,0.04,,0.0,
0.97,,"[563, 276, 164, 212]",,0.0,,0.01,,0.0,,0.01,,0.01,,0.0,
0.98,,"[564, 277, 165, 211]",,0.0,,0.0,,0.0,,0.0,,0.01,,0.0,
1.0,,"[559, 264, 178, 227]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[559, 264, 180, 229]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[565, 279, 163, 210]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[559, 265, 180, 226]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[562, 278, 165, 211]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[563, 278, 165, 212]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[563, 279, 163, 208]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[559, 264, 181, 224]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[563, 279, 162, 208]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[564, 280, 161, 209]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[563, 280, 161, 207]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[564, 279, 161, 208]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[560, 264, 177, 222]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[563, 279, 161, 208]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[564, 279, 160, 208]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[564, 279, 160, 207]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[560, 265, 177, 219]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[563, 280, 161, 206]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[563, 279, 161, 208]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[560, 264, 177, 219]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,0.02,"[563, 278, 162, 208]","[731, 496, 17, 20]",0.0,0.0,0.0,0.15,0.0,0.02,0.0,0.08,0.0,0.7,0.0,0.03
1.0,,"[561, 264, 176, 219]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[563, 260, 177, 225]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[563, 279, 160, 208]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[561, 264, 177, 219]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[563, 279, 160, 207]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[563, 262, 177, 221]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[565, 280, 158, 205]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[564, 280, 159, 204]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[560, 264, 176, 220]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[564, 279, 159, 207]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[562, 281, 163, 205]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[563, 279, 162, 206]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[563, 280, 163, 206]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[563, 281, 163, 206]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.98,,"[564, 280, 158, 205]",,0.01,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[565, 280, 160, 206]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[565, 279, 160, 207]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[564, 278, 161, 207]",,0.01,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[565, 278, 161, 207]",,0.01,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[565, 280, 161, 206]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[565, 279, 162, 207]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[565, 279, 161, 208]",,0.0,,0.0,,0.0,,0.0,,0.01,,0.0,
1.0,,"[564, 265, 175, 219]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[564, 278, 161, 209]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[565, 278, 162, 208]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[564, 277, 163, 210]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[564, 278, 163, 209]",,0.0,,0.0,,0.0,,0.0,,0.01,,0.0,
0.99,,"[564, 275, 165, 213]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[564, 275, 165, 213]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[564, 276, 164, 213]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[564, 275, 165, 212]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[564, 277, 162, 211]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[564, 275, 164, 212]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[565, 275, 164, 212]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[562, 262, 179, 226]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[560, 260, 182, 229]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1.0,,"[560, 260, 181, 229]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[566, 274, 168, 215]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.96,,"[565, 274, 166, 211]",,0.03,,0.01,,0.0,,0.0,,0.0,,0.0,
1.0,,"[564, 263, 175, 221]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[566, 273, 171, 215]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[566, 274, 168, 212]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.96,,"[566, 273, 167, 213]",,0.01,,0.0,,0.01,,0.0,,0.01,,0.0,
0.98,,"[565, 263, 172, 221]",,0.0,,0.01,,0.0,,0.0,,0.01,,0.0,
1.0,,"[561, 260, 180, 228]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[565, 265, 170, 222]",,0.0,,0.01,,0.0,,0.0,,0.0,,0.0,
1.0,,"[565, 264, 170, 223]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[561, 259, 182, 230]",,0.0,,0.01,,0.0,,0.0,,0.0,,0.0,
0.98,,"[560, 258, 183, 233]",,0.0,,0.01,,0.0,,0.0,,0.0,,0.0,
0.98,,"[560, 259, 182, 231]",,0.0,,0.01,,0.0,,0.0,,0.01,,0.0,
1.0,,"[566, 266, 169, 220]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[566, 266, 169, 221]",,0.0,,0.01,,0.0,,0.0,,0.01,,0.0,
1.0,,"[566, 267, 170, 222]",,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.99,,"[566, 266, 170, 221]",,0.0,,0.01,,0.0,,0.0,,0.0,,0.0,
0.99,,"[567, 265, 169, 223]",,0.0,,0.01,,0.0,,0.0,,0.0,,0.0,
0.98,,"[567, 265, 170, 223]",,0.0,,0.01,,0.0,,0.0,,0.01,,0.0,
0.97,,"[561, 261, 179, 229]",,0.01,,0.01,,0.0,,0.0,,0.01,,0.0,
